slug_pd,Town_county
fairfield-essex,"Fairfield, Essex County"
glen-ridge-essex,"Glen Ridge, Essex County"
irvington-essex,"Irvington, Essex County"
livingston-essex,"Livingston, Essex County"
maplewood-essex,"Maplewood, Essex County"
millburn-essex,"Millburn, Essex County"
montclair-essex,"Montclair, Essex County"
newark-essex,"Newark, Essex County"
north-caldwell-essex,"North Caldwell, Essex County"
nutley-essex,"Nutley, Essex County"
roseland-essex,"Roseland, Essex County"
south-orange-essex,"South Orange, Essex County"
verona-essex,"Verona, Essex County"
west-caldwell-essex,"West Caldwell, Essex County"
west-orange-essex,"West Orange, Essex County"
clayton-gloucester,"Clayton, Gloucester County"
deptford-gloucester,"Deptford, Gloucester County"
east-greenwich-gloucester,"East Greenwich, Gloucester County"
elk-gloucester,"Elk, Gloucester County"
franklin-township-gloucester,"Franklin Township, Gloucester County"
glassboro-gloucester,"Glassboro, Gloucester County"
greenwich-gloucester,"Greenwich, Gloucester County"
harrison-township-gloucester,"Harrison Township, Gloucester County"
logan-township-gloucester,"Logan Township, Gloucester County"
mantua-gloucester,"Mantua, Gloucester County"
monroe-gloucester,"Monroe, Gloucester County"
westville-gloucester,"Westville, Gloucester County"
westville-gloucester,"Westville, Gloucester County"
newfield-gloucester,"Newfield, Gloucester County"
paulsboro-gloucester,"Paulsboro, Gloucester County"
pitman-gloucester,"Pitman, Gloucester County"
south-harrison-gloucester,"South Harrison, Gloucester County"
woolwich-gloucester,"Woolwich, Gloucester County"
woolwich-gloucester,"Woolwich, Gloucester County"
washington-gloucester,"Washington, Gloucester County"
wenonah-gloucester,"Wenonah, Gloucester County"
west-deptford-gloucester,"West Deptford, Gloucester County"
woodbury-gloucester,"Woodbury, Gloucester County"
woodbury-heights-gloucester,"Woodbury Heights, Gloucester County"
bayonne-hudson,"Bayonne, Hudson County"
east-newark-hudson,"East Newark, Hudson County"
guttenberg-hudson,"Guttenberg, Hudson County"
harrison-hudson,"Harrison, Hudson County"
hoboken-hudson,"Hoboken, Hudson County"
jersey-city-hudson,"Jersey City, Hudson County"
kearny-hudson,"Kearny, Hudson County"
north-bergen-hudson,"North Bergen, Hudson County"
secaucus-hudson,"Secaucus, Hudson County"
union-city-hudson,"Union City, Hudson County"
weehawken-hudson,"Weehawken, Hudson County"
west-new-york-hudson,"West New York, Hudson County"
califon-hunterdon,"Califon, Hunterdon County"
town-of-clinton-hunterdon,"Town of Clinton, Hunterdon County"
clinton-township-hunterdon,"Clinton Township, Hunterdon County"
delaware-hunterdon,"Delaware, Hunterdon County"
flemington-hunterdon,"Flemington, Hunterdon County"
frenchtown-hunterdon,"Frenchtown, Hunterdon County"
high-bridge-hunterdon,"High Bridge, Hunterdon County"
lambertville-hunterdon,"Lambertville, Hunterdon County"
lebanon-hunterdon,"Lebanon, Hunterdon County"
raritan-hunterdon,"Raritan, Hunterdon County"
readington-hunterdon,"Readington, Hunterdon County"
west-amwell-hunterdon,"West Amwell, Hunterdon County"
east-windsor-mercer,"East Windsor, Mercer County"
ewing-mercer,"Ewing, Mercer County"
hamilton-mercer,"Hamilton, Mercer County"
hightstown-mercer,"Hightstown, Mercer County"
hopewell-twp-mercer,"Hopewell twp, Mercer County"
hopewell-twp-mercer,"Hopewell twp, Mercer County"
lawrence-mercer,"Lawrence, Mercer County"
pennington-boro-mercer,"Pennington Boro, Mercer County"
princeton-mercer,"Princeton, Mercer County"
princeton-mercer,"Princeton, Mercer County"
robbinsville-mercer,"Robbinsville, Mercer County"
trenton-mercer,"Trenton, Mercer County"
west-windsor-mercer,"West Windsor, Mercer County"
carteret-middlesex,"Carteret, Middlesex County"
cranbury-middlesex,"Cranbury, Middlesex County"
dunellen-middlesex,"Dunellen, Middlesex County"
east-brunswick-middlesex,"East Brunswick, Middlesex County"
edison-middlesex,"Edison, Middlesex County"
helmetta-middlesex,"Helmetta, Middlesex County"
highland-park-middlesex,"Highland Park, Middlesex County"
jamesburg-middlesex,"Jamesburg, Middlesex County"
metuchen-middlesex,"Metuchen, Middlesex County"
middlesex-middlesex,"Middlesex, Middlesex County"
milltown-middlesex,"Milltown, Middlesex County"
monroe-middlesex,"Monroe, Middlesex County"
new-brunswick-middlesex,"New Brunswick, Middlesex County"
north-brunswick-middlesex,"North Brunswick, Middlesex County"
old-bridge-middlesex,"Old Bridge, Middlesex County"
perth-amboy-middlesex,"Perth Amboy, Middlesex County"
piscataway-middlesex,"Piscataway, Middlesex County"
plainsboro-middlesex,"Plainsboro, Middlesex County"
sayreville-middlesex,"Sayreville, Middlesex County"
south-amboy-middlesex,"South Amboy, Middlesex County"
south-brunswick-middlesex,"South Brunswick, Middlesex County"
south-plainfield-middlesex,"South Plainfield, Middlesex County"
south-river-middlesex,"South River, Middlesex County"
spotswood-middlesex,"Spotswood, Middlesex County"
woodbridge-middlesex,"Woodbridge, Middlesex County"
aberdeen-monmouth,"Aberdeen, Monmouth County"
allenhurst-monmouth,"Allenhurst, Monmouth County"
allentown-monmouth,"Allentown, Monmouth County"
asbury-park-monmouth,"Asbury Park, Monmouth County"
atlantic-highlands-monmouth,"Atlantic Highlands, Monmouth County"
avon-by-the-sea-monmouth,"Avon-By-the-Sea, Monmouth County"
belmar-monmouth,"Belmar, Monmouth County"
bradley-beach-monmouth,"Bradley Beach, Monmouth County"
brielle-monmouth,"Brielle, Monmouth County"
colts-neck-monmouth,"Colts Neck, Monmouth County"
deal-monmouth,"Deal, Monmouth County"
deal-monmouth,"Deal, Monmouth County"
eatontown-monmouth,"Eatontown, Monmouth County"
englishtown-monmouth,"Englishtown, Monmouth County"
fair-haven-monmouth,"Fair Haven, Monmouth County"
freehold-boro-monmouth,"Freehold Boro, Monmouth County"
freehold-monmouth,"Freehold, Monmouth County"
hazlet-monmouth,"Hazlet, Monmouth County"
highlands-boro-monmouth,"Highlands Boro, Monmouth County"
holmdel-monmouth,"Holmdel, Monmouth County"
howell-monmouth,"Howell, Monmouth County"
keansburg-monmouth,"Keansburg, Monmouth County"
keyport-monmouth,"Keyport, Monmouth County"
lake-como-boro-monmouth,"Lake Como Boro, Monmouth County"
little-silver-monmouth,"Little Silver, Monmouth County"
ocean-township-monmouth,"Ocean Township, Monmouth County"
ocean-township-monmouth,"Ocean Township, Monmouth County"
long-branch-monmouth,"Long Branch, Monmouth County"
manalapan-monmouth,"Manalapan, Monmouth County"
manasquan-monmouth,"Manasquan, Monmouth County"
marlboro-monmouth,"Marlboro, Monmouth County"
matawan-monmouth,"Matawan, Monmouth County"
middletown-monmouth,"Middletown, Monmouth County"
monmouth-beach-monmouth,"Monmouth Beach, Monmouth County"
neptune-township-monmouth,"Neptune Township, Monmouth County"
neptune-city-monmouth,"Neptune City, Monmouth County"
ocean-port-monmouth,"Ocean Port, Monmouth County"
red-bank-monmouth,"Red Bank, Monmouth County"
rumson-monmouth,"Rumson, Monmouth County"
sea-bright-monmouth,"Sea Bright, Monmouth County"
sea-girt-monmouth,"Sea Girt, Monmouth County"
shrewsbury-monmouth,"Shrewsbury, Monmouth County"
spring-lake-boro-monmouth,"Spring Lake Boro, Monmouth County"
spring-lake-heights-monmouth,"Spring Lake Heights, Monmouth County"
tinton-falls-monmouth,"Tinton Falls, Monmouth County"
union-beach-monmouth,"Union Beach, Monmouth County"
wall-monmouth,"Wall, Monmouth County"
west-long-branch-monmouth,"West Long Branch, Monmouth County"
boonton-township-morris,"Boonton Township, Morris County"
butler-morris,"Butler, Morris County"
chatham-boro-morris,"Chatham boro, Morris County"
chatham-twp-morris,"Chatham Twp, Morris County"
chester-twp-morris,"Chester Twp, Morris County"
chester-twp-morris,"Chester Twp, Morris County"
denville-morris,"Denville, Morris County"
dover-morris,"Dover, Morris County"
east-hanover-morris,"East Hanover, Morris County"
florham-park-morris,"Florham Park, Morris County"
hanover-morris,"Hanover, Morris County"
harding-morris,"Harding, Morris County"
jefferson-morris,"Jefferson, Morris County"
kinnelon-morris,"Kinnelon, Morris County"
lincoln-park-morris,"Lincoln Park, Morris County"
long-hill-morris,"Long Hill, Morris County"
madison-morris,"Madison, Morris County"
mendham-boro-morris,"Mendham Boro, Morris County"
mendham-twp-morris,"Mendham twp, Morris County"
wharton-morris,"Wharton, Morris County"
wharton-morris,"Wharton, Morris County"
montville-morris,"Montville, Morris County"
morris-township-morris,"Morris Township, Morris County"
morris-plains-boro-morris,"Morris Plains Boro, Morris County"
morristown-morris,"Morristown, Morris County"
mountain-lakes-morris,"Mountain Lakes, Morris County"
mount-arlington-morris,"Mount Arlington, Morris County"
mount-olive-morris,"Mount Olive, Morris County"
netcong-morris,"Netcong, Morris County"
parsippany-morris,"Parsippany, Morris County"
pequannock-morris,"Pequannock, Morris County"
randolph-morris,"Randolph, Morris County"
riverdale-morris,"Riverdale, Morris County"
rockaway-boro-morris,"Rockaway Boro, Morris County"
rockaway-twp-morris,"Rockaway Twp, Morris County"
roxbury-morris,"Roxbury, Morris County"
washington-morris,"Washington, Morris County"
barnegat-ocean,"Barnegat, Ocean County"
barnegat-ocean,"Barnegat, Ocean County"
bay-head-ocean,"Bay Head, Ocean County"
beach-haven-ocean,"Beach Haven, Ocean County"
beachwood-ocean,"Beachwood, Ocean County"
berkeley-ocean,"Berkeley, Ocean County"
brick-ocean,"Brick, Ocean County"
harvey-cedars-ocean,"Harvey Cedars, Ocean County"
island-heights-ocean,"Island Heights, Ocean County"
jackson-ocean,"Jackson, Ocean County"
lacey-ocean,"Lacey, Ocean County"
lakehurst-ocean,"Lakehurst, Ocean County"
lakewood-ocean,"Lakewood, Ocean County"
lavallette-ocean,"Lavallette, Ocean County"
little-egg-harbor-ocean,"Little Egg Harbor, Ocean County"
long-beach-township-ocean,"Long Beach Township, Ocean County"
manchester-ocean,"Manchester, Ocean County"
mantoloking-ocean,"Mantoloking, Ocean County"
ocean-township-ocean,"Ocean Township, Ocean County"
ocean-gate-ocean,"Ocean Gate, Ocean County"
pine-beach-ocean,"Pine Beach, Ocean County"
plumstead-ocean,"Plumstead, Ocean County"
point-pleasant-ocean,"Point Pleasant, Ocean County"
point-pleasant-beach-ocean,"Point Pleasant Beach, Ocean County"
seaside-heights-ocean,"Seaside Heights, Ocean County"
seaside-park-ocean,"Seaside Park, Ocean County"
ship-bottom-ocean,"Ship Bottom, Ocean County"
south-toms-river-ocean,"South Toms River, Ocean County"
stafford-ocean,"Stafford, Ocean County"
surf-city-ocean,"Surf City, Ocean County"
toms-river-ocean,"Toms River, Ocean County"
tuckerton-ocean,"Tuckerton, Ocean County"
bloomingdale-passaic,"Bloomingdale, Passaic County"
clifton-passaic,"Clifton, Passaic County"
haledon-passaic,"Haledon, Passaic County"
hawthorne-passaic,"Hawthorne, Passaic County"
little-falls-passaic,"Little Falls, Passaic County"
north-haledon-passaic,"North Haledon, Passaic County"
passaic-passaic,"Passaic, Passaic County"
paterson-passaic,"Paterson, Passaic County"
pompton-lakes-passaic,"Pompton Lakes, Passaic County"
prospect-park-passaic,"Prospect Park, Passaic County"
ringwood-passaic,"Ringwood, Passaic County"
totowa-passaic,"Totowa, Passaic County"
wanaque-passaic,"Wanaque, Passaic County"
wayne-passaic,"Wayne, Passaic County"
west-milford-passaic,"West Milford, Passaic County"
woodland-park-passaic,"Woodland Park, Passaic County"
carney-s-point-salem,"Carney_s Point, Salem County"
lower-alloways-creek-salem,"Lower Alloways Creek, Salem County"
lower-alloways-creek-salem,"Lower Alloways Creek, Salem County"
penns-grove-salem,"Penns Grove, Salem County"
pennsville-salem,"Pennsville, Salem County"
salem-city-salem,"Salem City, Salem County"
woodstown-salem,"Woodstown, Salem County"
bedminster-somerset,"Bedminster, Somerset County"
bernards-somerset,"Bernards, Somerset County"
bernardsville-somerset,"Bernardsville, Somerset County"
bound-brook-somerset,"Bound Brook, Somerset County"
branchburg-somerset,"Branchburg, Somerset County"
bridgewater-somerset,"Bridgewater, Somerset County"
far-hills-somerset,"Far Hills, Somerset County"
franklin-somerset,"Franklin, Somerset County"
green-brook-somerset,"Green Brook, Somerset County"
hillsborough-somerset,"Hillsborough, Somerset County"
manville-somerset,"Manville, Somerset County"
montgomery-somerset,"Montgomery, Somerset County"
north-plainfield-somerset,"North Plainfield, Somerset County"
peapack-gladstone-somerset,"Peapack gladstone, Somerset County"
raritan-somerset,"Raritan, Somerset County"
somerville-somerset,"Somerville, Somerset County"
south-boundbrook-somerset,"South Boundbrook, Somerset County"
warren-township-somerset,"Warren Township, Somerset County"
watchung-somerset,"Watchung, Somerset County"
andover-township-sussex,"Andover Township, Sussex County"
byram-sussex,"Byram, Sussex County"
franklin-boro-sussex,"Franklin Boro, Sussex County"
hamburg-sussex,"Hamburg, Sussex County"
hardyston-sussex,"Hardyston, Sussex County"
hopatcong-sussex,"Hopatcong, Sussex County"
newton-sussex,"Newton, Sussex County"
ogdensburg-sussex,"Ogdensburg, Sussex County"
sparta-sussex,"Sparta, Sussex County"
stanhope-sussex,"Stanhope, Sussex County"
vernon-sussex,"Vernon, Sussex County"
berkeley-heights-union,"Berkeley Heights, Union County"
clark-union,"Clark, Union County"
cranford-union,"Cranford, Union County"
elizabeth-union,"Elizabeth, Union County"
fanwood-union,"Fanwood, Union County"
garwood-union,"Garwood, Union County"
hillside-union,"Hillside, Union County"
kenilworth-union,"Kenilworth, Union County"
linden-union,"Linden, Union County"
mountainside-union,"Mountainside, Union County"
new-providence-union,"New Providence, Union County"
plainfield-union,"Plainfield, Union County"
rahway-union,"Rahway, Union County"
roselle-union,"Roselle, Union County"
roselle-park-union,"Roselle Park, Union County"
scotch-plains-union,"Scotch Plains, Union County"
springfield-union,"Springfield, Union County"
summit-union,"Summit, Union County"
union-township-union,"Union township, Union County"
westfield-union,"Westfield, Union County"
winfield-union,"Winfield, Union County"
phillipsburg-warren,"Phillipsburg, Warren County"
phillipsburg-warren,"Phillipsburg, Warren County"
belvidere-warren,"Belvidere, Warren County"
blairstown-warren,"Blairstown, Warren County"
greenwich-warren,"Greenwich, Warren County"
hackettstown-warren,"Hackettstown, Warren County"
independence-warren,"Independence, Warren County"
lopatcong-warren,"Lopatcong, Warren County"
mansfield-warren,"Mansfield, Warren County"
pohatcong-warren,"Pohatcong, Warren County"
washington-township-warren,"Washington Township, Warren County"
washington-township-warren,"Washington Township, Warren County"
