year,county,town,incidentDate,incidentTime,city,officerName,officerid,location,type,officerSex,officerRace,townCounty
2015,Monmouth County,Neptune Township,8/27/15,21:41,,Aaron F Lay,AaronFLayNeptuneTownship,Springwood / Ridge Asbury Park,Other Dispute,Male,WHITE,"Neptune Township, Monmouth County"
2013,Monmouth County,Neptune Township,10/18/13,23:33,,Aaron F Lay,AaronFLayNeptuneTownship,IFO 525 Wayside Road,Crime In Progress,Not listed,,"Neptune Township, Monmouth County"
2016,Monmouth County,Neptune Township,10/22/16,13:47,,Aaron F Lay,AaronFLayNeptuneTownship,1207 SR 35 S - Stumpy's Sales Service,Crime In Progress,Male,WHITE,"Neptune Township, Monmouth County"
2015,Monmouth County,Neptune Township,9/9/15,18:55,,Aaron F Lay,AaronFLayNeptuneTownship,Park Lot of Home Depot,Crime In Progress,Male,WHITE,"Neptune Township, Monmouth County"
2014,Monmouth County,Neptune Township,10/19/14,4:43,,Aaron F Lay,AaronFLayNeptuneTownship,705 SR 35,"Crime In Progress, Traffic Stop",Male,WHITE,"Neptune Township, Monmouth County"
2015,Monmouth County,Neptune Township,11/6/15,23:41,,Aaron F Lay,AaronFLayNeptuneTownship,2007 Milton Avenue,Crime In Progress,Male,WHITE,"Neptune Township, Monmouth County"
2016,Monmouth County,Neptune Township,4/30/16,2:10,,Aaron F Lay,AaronFLayNeptuneTownship,111 New York Rd,"Crime In Progress, Other: Disorderly Conduct",Male,WHITE,"Neptune Township, Monmouth County"
2014,Monmouth County,Neptune Township,12/18/14,2:35,,Aaron F Lay,AaronFLayNeptuneTownship,Atkins Ave & Springwood Ave,"Crime In Progress, Traffic Stop, Other: Missing Person",Male,WHITE,"Neptune Township, Monmouth County"
2014,Mercer County,Trenton,6/14/14,0:45,,Aaron J Bernstein,AaronJBernsteinTrenton,69 General Greene,Other Dispute,Male,,"Trenton, Mercer County"
2016,Mercer County,Trenton,5/20/16,23:36,,Aaron J Bernstein,AaronJBernsteinTrenton,224 Bayard,Other: Illegible Suicide,Male,WHITE,"Trenton, Mercer County"
2014,Mercer County,Trenton,3/10/14,23:40,,Aaron J Bernstein,AaronJBernsteinTrenton,R/O 317 Bellevue,"Crime In Progress, Other: Resisting Arrest, Obstructing",Male,WHITE,"Trenton, Mercer County"
2015,Mercer County,Trenton,8/30/15,1:17,,Aaron J Bernstein,AaronJBernsteinTrenton,50 Riverview Plz,Crime In Progress,Male,WHITE,"Trenton, Mercer County"
2015,Mercer County,Trenton,3/30/15,5:55,,Aaron J Bernstein,AaronJBernsteinTrenton,212 Coolidge,Other Dispute,Male,WHITE,"Trenton, Mercer County"
2015,Mercer County,Trenton,5/2/15,3:52,,Aaron J Bernstein,AaronJBernsteinTrenton,2 Kimberly St,Domestic,Male,WHITE,"Trenton, Mercer County"
2016,Mercer County,Trenton,12/3/16,22:25,,Aaron J Bernstein,AaronJBernsteinTrenton,5C Kingsbury Sq,Domestic,Male,WHITE,"Trenton, Mercer County"
2012,Mercer County,Trenton,2/26/12,1:51,,Aaron J Bernstein,AaronJBernsteinTrenton,Dewey & N Clinton,Suspicious Person,Male,,"Trenton, Mercer County"
2012,Mercer County,Trenton,10/16/12,22:36,,Aaron J Bernstein,AaronJBernsteinTrenton,C/O Swan & Whittaker,Crime In Progress,Male,WHITE,"Trenton, Mercer County"
2013,Mercer County,Trenton,8/31/13,2:05,,Aaron J Bernstein,AaronJBernsteinTrenton,N Clinton/ Poplar,Suspicious Person,Male,WHITE,"Trenton, Mercer County"
2013,Mercer County,Trenton,3/9/13,2:02,,Aaron J Bernstein,AaronJBernsteinTrenton,Carver Ln / N William,Other: Street Fight,Male,,"Trenton, Mercer County"
2012,Mercer County,Trenton,7/13/12,20:00,,Aaron J Bernstein,AaronJBernsteinTrenton,19 Charles St,Crime In Progress,Male,,"Trenton, Mercer County"
2013,Mercer County,Trenton,7/4/13,23:13,,Aaron J Bernstein,AaronJBernsteinTrenton,119 E Ingham Ave,Crime In Progress,Male,,"Trenton, Mercer County"
2012,Mercer County,Trenton,10/19/12,19:08,,Aaron J Bernstein,AaronJBernsteinTrenton,712 Edgewood Ave,Other: Mentally Ill Illegible Suspect,Male,WHITE,"Trenton, Mercer County"
2012,Essex County,Newark,5/11/12,20:02,,Abraham James,AbrahamJamesNewark,4th Ave / N 12th St,Other: Nothing,Male,BLACK,"Newark, Essex County"
2013,Essex County,Newark,3/20/13,18:30,,Abraham James,AbrahamJamesNewark,50 20th / Westervelt,Suspicious Person,Male,BLACK,"Newark, Essex County"
2013,Essex County,Newark,7/25/13,23:20,Newark,Abraham James,AbrahamJamesNewark,"Springfield Ave / S. 16th St, NJ","Mother Vehicle Stop, Other: Obstructing/Resisting",Male,BLACK,"Newark, Essex County"
2014,Essex County,Newark,2/16/14,16:00,,Abraham James,AbrahamJamesNewark,Ridgewood Ave / W. Runyon,Other: Disorderly Conduct,Male,BLACK,"Newark, Essex County"
2013,Essex County,Newark,11/3/13,15:10,,Abraham James,AbrahamJamesNewark,762 S 20th St,Other: Drug Activity,Male,BLACK,"Newark, Essex County"
2013,Essex County,Newark,2/19/13,17:15,,Abraham James,AbrahamJamesNewark,25 Johnson Ave,Other: Drug Activity,Male,BLACK,"Newark, Essex County"
2013,Essex County,Newark,8/30/13,16:00,Newark,Abraham James,AbrahamJamesNewark,86 N. Munn Ave,"Other: Disorderly, Resisting Arrest, Trespassing",Male,BLACK,"Newark, Essex County"
2014,Essex County,Newark,1/15/14,16:20,,Abraham James,AbrahamJamesNewark,502 Orange St,Other: Redacted Suspicious Person Investigation,Male,BLACK,"Newark, Essex County"
2013,Essex County,Newark,8/26/13,22:30,Newark,Abraham James,AbrahamJamesNewark,"167 Avon, NJ",Other: Other,Female,BLACK,"Newark, Essex County"
2014,Essex County,Newark,5/17/14,14:00,,Abraham James,AbrahamJamesNewark,945 Frelinghuysen Ave,"Other: Drug Activity, Poss Of A Weapon",Male,BLACK,"Newark, Essex County"
2014,Essex County,Newark,11/9/14,17:50,,Abraham James,AbrahamJamesNewark,284 Lyons Ave,"Suspicious Person, Other: Poss Of Handgun",Male,BLACK,"Newark, Essex County"
2016,Essex County,Newark,7/25/16,20:40,Newark,Abraham James,AbrahamJamesNewark,"348 Clinton Ave, NJ 07108",Suspicious Person,Male,BLACK,"Newark, Essex County"
2012,Essex County,Newark,3/9/12,0:00,,Adam Berger,AdamSBergerNewark,"Steuben St & Sussex St, E. Orange",Other: Reports Of Guns In Vehicle & Cds Activity,Male,WHITE,"Newark, Essex County"
2012,Essex County,Newark,6/16/12,16:30,Newark,Adam Berger,AdamSBergerNewark,945 8th St,"Suspicious Person, Other: Narcotics Activity / Disorderly Person",Male,WHITE,"Newark, Essex County"
2012,Essex County,Newark,4/13/12,20:20,,Adam Berger,AdamSBergerNewark,Bridscot / McCarter Hwy - 23 Halsey St,"Traffic Violation, Other: Eluding / Hit & Run / Agg Assault On P/O",Male,WHITE,"Newark, Essex County"
2013,Essex County,Newark,9/10/13,19:20,,Adam Berger,AdamSBergerNewark,360 6th Avenue,"Suspicious Person, Motor Vehicle Stop",Male,WHITE,"Newark, Essex County"
2013,Essex County,Newark,9/4/13,18:15,,Adam Berger,AdamSBergerNewark,Victoria / MT Prospect Housing (Complex),"Suspicious Person, Other: Cds Activity",Male,WHITE,"Newark, Essex County"
2013,Essex County,Newark,8/20/13,22:55,,Adam Berger,AdamSBergerNewark,Pennington / Dawson St,"Motor Vehicle Stop, Other: Juvenile With Handgun",Male,WHITE,"Newark, Essex County"
2014,Essex County,Newark,12/29/14,0:30,Newark,Adam Berger,AdamSBergerNewark,"121 ILLEGIBLE, NJ 07107",Other: Emotionally Disturbed Juvenile In Need Of Medical Care,Male,WHITE,"Newark, Essex County"
2014,Essex County,Newark,7/26/14,4:30,,Adam Berger,AdamSBergerNewark,3rd Ave / N 10th St,"Crime In Progress, Other: Stolen Vehicle / Foot Chase",Male,WHITE,"Newark, Essex County"
2013,Ocean County,Toms River,8/10/13,3:54,,Adam C Worth,AdamCWorthTomsRiver,Route 37 EB/Garden State Parkway,Suspicious Person,Male,WHITE,"Toms River, Ocean County"
2013,Ocean County,Toms River,8/17/13,0:27,Berkeley Township,Adam C Worth,AdamCWorthTomsRiver,"130 St Maximilian Ln, NJ 08757",Traffic Stop,Male,WHITE,"Toms River, Ocean County"
2012,Ocean County,Toms River,8/1/12,1:48,Toms River,Adam C Worth,AdamCWorthTomsRiver,"103 Walnut St, 9, NJ",Other: Pess Screening,Male,WHITE,"Toms River, Ocean County"
2013,Ocean County,Toms River,10/26/13,1:01,Toms River,Adam C Worth,AdamCWorthTomsRiver,"70 16th St, NJ 08753",Other: Pess Screening,Male,WHITE,"Toms River, Ocean County"
2013,Ocean County,Toms River,1/13/13,1:45,,Adam C Worth,AdamCWorthTomsRiver,1640 Route 9,Suspicious Person,Male,WHITE,"Toms River, Ocean County"
2013,Ocean County,Toms River,11/10/13,2:21,,Adam C Worth,AdamCWorthTomsRiver,Roosevelt Ave & MacArthur Rd,Other Dispute,Male,WHITE,"Toms River, Ocean County"
2013,Ocean County,Toms River,1/7/13,22:58,,Adam C Worth,AdamCWorthTomsRiver,14 Morning Glory Ct,Domestic,Male,WHITE,"Toms River, Ocean County"
2012,Ocean County,Toms River,8/13/12,1:19,Toms River,Adam C Worth,AdamCWorthTomsRiver,"56 Gladney Ave, NJ",Other: Pess Screening,Male,WHITE,"Toms River, Ocean County"
2013,Ocean County,Toms River,11/29/13,0:57,,Adam C Worth,AdamCWorthTomsRiver,Route 37 W/Cardinal Dr,Other: Pess Screening,Male,WHITE,"Toms River, Ocean County"
2013,Ocean County,Toms River,6/1/13,1:27,,Adam C Worth,AdamCWorthTomsRiver,"3434 Rt 37 E, Rm 108",Other: Warrant Service,Male,WHITE,"Toms River, Ocean County"
2013,Ocean County,Toms River,6/21/13,23:20,,Adam C Worth,AdamCWorthTomsRiver,1063 Kilkormic St,Crime In Progress,Male,WHITE,"Toms River, Ocean County"
2014,Ocean County,Toms River,1/4/14,2:33,,Adam C Worth,AdamCWorthTomsRiver,655 Ellicott Ave,Crime In Progress,Male,WHITE,"Toms River, Ocean County"
2014,Ocean County,Toms River,4/4/14,23:00,,Adam C Worth,AdamCWorthTomsRiver,61 Fox Glove Run,Other: Pess Transport,Male,WHITE,"Toms River, Ocean County"
2014,Ocean County,Toms River,4/6/14,7:16,,Adam C Worth,AdamCWorthTomsRiver,1928 Ravenwood Drive (Allies Group Home),"Other Dispute, Other: Pess Screening",Male,WHITE,"Toms River, Ocean County"
2015,Ocean County,Toms River,7/5/15,2:50,,Adam C Worth,AdamCWorthTomsRiver,Sica Ln,Suspicious Person,Male,WHITE,"Toms River, Ocean County"
2015,Ocean County,Toms River,7/11/15,0:39,,Adam C Worth,AdamCWorthTomsRiver,851 Regency Ct,Domestic,Male,WHITE,"Toms River, Ocean County"
2014,Ocean County,Toms River,7/20/14,3:56,,Adam C Worth,AdamCWorthTomsRiver,Tunney Bridge,Suspicious Person,Male,WHITE,"Toms River, Ocean County"
2014,Ocean County,Toms River,4/14/14,13:32,,Adam C Worth,AdamCWorthTomsRiver,39 Newman Dr,Crime In Progress,Male,WHITE,"Toms River, Ocean County"
2014,Ocean County,Toms River,4/18/14,22:43,,Adam C Worth,AdamCWorthTomsRiver,Haines/Cedar,"Crime In Progress, Suspicious Person",Male,WHITE,"Toms River, Ocean County"
2014,Ocean County,Toms River,7/26/14,3:03,,Adam C Worth,AdamCWorthTomsRiver,111 Grover Rd,Other: Pess Screening,Male,WHITE,"Toms River, Ocean County"
2014,Ocean County,Toms River,6/1/14,2:03,,Adam C Worth,AdamCWorthTomsRiver,"2122 Route 37 E, Ocean View Inn",Other Dispute,Male,WHITE,"Toms River, Ocean County"
2014,Ocean County,Toms River,6/22/14,0:16,,Adam C Worth,AdamCWorthTomsRiver,609 Vaughn Avenue,Other: Noise Complaint,Male,WHITE,"Toms River, Ocean County"
2014,Ocean County,Toms River,12/18/14,6:50,Toms River,Adam C Worth,AdamCWorthTomsRiver,"255 Oak Avenue, NJ",Other: Prisoner Transport,Male,WHITE,"Toms River, Ocean County"
2015,Ocean County,Toms River,12/18/15,23:34,,Adam C Worth,AdamCWorthTomsRiver,739 S. Mehar Ct,Domestic,Male,WHITE,"Toms River, Ocean County"
2016,Ocean County,Toms River,1/15/16,23:32,,Adam C Worth,AdamCWorthTomsRiver,River Terr/Newman Dr,Other: Pess Screening,Male,WHITE,"Toms River, Ocean County"
2015,Ocean County,Toms River,4/19/15,3:40,,Adam C Worth,AdamCWorthTomsRiver,"255 Oak Ave, TRMJ",Other: Jail - Restraint Chair,Male,WHITE,"Toms River, Ocean County"
2016,Ocean County,Toms River,2/18/16,1:35,Toms River,Adam C Worth,AdamCWorthTomsRiver,"132 Route 37 E, NJ",Other: First Aid Call,Male,WHITE,"Toms River, Ocean County"
2016,Ocean County,Toms River,10/16/16,4:43,,Adam C Worth,AdamCWorthTomsRiver,819 France Ct,Other: Pess Evaluation / Welfare Check,Male,WHITE,"Toms River, Ocean County"
2016,Ocean County,Toms River,5/28/16,23:48,,Adam C Worth,AdamCWorthTomsRiver,1506 Rt 6,"Domestic, Other: Pess Screening",Male,WHITE,"Toms River, Ocean County"
2016,Ocean County,Toms River,10/22/16,22:40,,Adam C Worth,AdamCWorthTomsRiver,2 W Water St,Other: Pess Screening,Male,WHITE,"Toms River, Ocean County"
2016,Ocean County,Toms River,6/22/16,0:46,,Adam C Worth,AdamCWorthTomsRiver,47 Walnut St,Domestic,Male,WHITE,"Toms River, Ocean County"
2016,Ocean County,Toms River,6/25/16,1:54,,Adam C Worth,AdamCWorthTomsRiver,7 W Water St,Suspicious Person,Male,WHITE,"Toms River, Ocean County"
2016,Ocean County,Toms River,12/29/16,1:26,,Adam C Worth,AdamCWorthTomsRiver,796 Coolidge Ave,Other: Traffic Crash / Dwi,Male,WHITE,"Toms River, Ocean County"
2014,Bergen County,Teaneck,2/8/14,20:22,,Adam Lohsen,AdamRLohsenTeaneck,REDACTED,"Other Dispute, Other: Involuntary Commitment",Not listed,,"Teaneck, Bergen County"
2015,Bergen County,Teaneck,9/14/15,20:45,,Adam Lohsen,AdamRLohsenTeaneck,REDACTED,Other: Walk In Commitment,Not listed,,"Teaneck, Bergen County"
2013,Bergen County,Teaneck,11/19/13,15:19,REDACTED,Adam Lohsen,AdamRLohsenTeaneck,REDACTED,Other: Uncooperative Patient,Not listed,,"Teaneck, Bergen County"
2013,Bergen County,Teaneck,9/3/13,23:49,,Adam Lohsen,AdamRLohsenTeaneck,14 Lowell Court,"Domestic, Other: Involuntary Commitment",Not listed,,"Teaneck, Bergen County"
2016,Bergen County,Teaneck,9/28/16,0:33,Teaneck,Adam Lohsen,AdamRLohsenTeaneck,"1549 Teaneck Road, New Jersey, 07666",Other: Hit And Run Accident Investigation/Dui,Male,WHITE,"Teaneck, Bergen County"
2016,Bergen County,Teaneck,5/5/16,21:09,,Adam Lohsen,AdamRLohsenTeaneck,REDACTED,Mental Health,Male,WHITE,"Teaneck, Bergen County"
2014,Bergen County,Teaneck,11/8/14,23:47,,Adam Lohsen,AdamRLohsenTeaneck,260 Elm Avenue,Other - Specify: Assault Victim,Not listed,,"Teaneck, Bergen County"
2014,Bergen County,Teaneck,5/29/14,23:54,,Adam Lohsen,AdamRLohsenTeaneck,Kenwood Pl and Catalpa Ave,Other: Disorderly Conduct,Not listed,,"Teaneck, Bergen County"
2015,Monmouth County,Middletown,2/17/15,18:30,Middletown,Adam M Colfer,AdamMColferMiddletown,66 Carter Ave,Crime In Progress,Not listed,WHITE,"Middletown, Monmouth County"
2015,Monmouth County,Middletown,3/17/15,21:00,,Adam M Colfer,AdamMColferMiddletown,Riverview Medical Center,"Domestic, Other: Crisis",Male,WHITE,"Middletown, Monmouth County"
2015,Monmouth County,Middletown,4/22/15,17:15,,Adam M Colfer,AdamMColferMiddletown,180 Seabreeze / Ideal Beach,"Crime In Progress, Domestic",Male,WHITE,"Middletown, Monmouth County"
2013,Monmouth County,Middletown,1/27/13,22:45,,Adam M Colfer,AdamMColferMiddletown,6 Bordon Rd,Domestic,Male,WHITE,"Middletown, Monmouth County"
2016,Monmouth County,Middletown,2/20/16,22:30,,Adam M Colfer,AdamMColferMiddletown,542 Ocean Blvd,Domestic,Male,WHITE,"Middletown, Monmouth County"
2014,Monmouth County,Middletown,1/24/14,23:40,,Adam M Colfer,AdamMColferMiddletown,Port Monmouth/Hudson,"Crime In Progress, Traffic Stop",Male,WHITE,"Middletown, Monmouth County"
2013,Monmouth County,Middletown,2/22/13,18:01,,Adam M Colfer,AdamMColferMiddletown,Middletown Train Station,Other Dispute,Male,WHITE,"Middletown, Monmouth County"
2012,Monmouth County,Middletown,2/17/12,12:05,,Adam M Colfer,AdamMColferMiddletown,NJ Train Tracks ( ILLEGIBLE),Crime In Progress,Not listed,,"Middletown, Monmouth County"
2015,Monmouth County,Middletown,5/25/15,12:55,,Adam M Colfer,AdamMColferMiddletown,Main / Railroad,"Traffic Stop, Other: Search Of Person",Male,WHITE,"Middletown, Monmouth County"
2012,Monmouth County,Middletown,2/22/12,3:11,,Adam Colfer,AdamMColferMiddletown,12 Michele Dr,Traffic Violation,Not listed,,"Middletown, Monmouth County"
2013,Monmouth County,Middletown,3/10/13,17:46,,Adam M Colfer,AdamMColferMiddletown,140 Sea Bird Lane,Crime In Progress,Male,WHITE,"Middletown, Monmouth County"
2015,Monmouth County,Middletown,6/28/15,19:50,,Adam M Colfer,AdamMColferMiddletown,Susan / Creek,Crime In Progress,Male,WHITE,"Middletown, Monmouth County"
2013,Monmouth County,Middletown,4/6/13,16:55,Middletown,Adam M Colfer,AdamMColferMiddletown,"466 Prospect Ave, NJ 07748","Crime In Progress, Other Dispute",Male,WHITE,"Middletown, Monmouth County"
2016,Monmouth County,Middletown,6/22/16,18:25,,Adam M Colfer,AdamMColferMiddletown,Twilight/Port Monmouth Road,"Traffic Stop, Other: Intoxicated & Combative Passenger",Male,WHITE,"Middletown, Monmouth County"
2012,Monmouth County,Middletown,4/22/12,8:15,,Adam M Colfer,AdamMColferMiddletown,2203 Church St,Crime In Progress,Not listed,,"Middletown, Monmouth County"
2012,Monmouth County,Middletown,5/6/12,3:50,,Adam M Colfer,AdamMColferMiddletown,1104 Knollwood Dr,Domestic,Not listed,,"Middletown, Monmouth County"
2015,Monmouth County,Middletown,10/18/15,21:40,,Adam M Colfer,AdamMColferMiddletown,158 Hudson Avenue,"Crime In Progress, Domestic",Male,WHITE,"Middletown, Monmouth County"
2014,Monmouth County,Middletown,6/10/14,18:23,,Adam M Colfer,AdamMColferMiddletown,201 Hwy 36 West/North,Other: Nothing,Male,WHITE,"Middletown, Monmouth County"
2013,Monmouth County,Middletown,5/4/13,13:00,,Adam M Colfer,AdamMColferMiddletown,233 Cherry Tree Ln,Crime In Progress,Male,WHITE,"Middletown, Monmouth County"
2016,Monmouth County,Middletown,6/29/16,21:38,,Adam M Colfer,AdamMColferMiddletown,Harmony Ave/Thompson,Crime In Progress,Male,WHITE,"Middletown, Monmouth County"
2013,Monmouth County,Middletown,6/14/13,18:54,,Adam M Colfer,AdamMColferMiddletown,178 Bray Ave,Crime In Progress,Male,WHITE,"Middletown, Monmouth County"
2013,Monmouth County,Middletown,7/4/13,20:45,,Adam M Colfer,AdamMColferMiddletown,7 Daniel Dr,Crime In Progress,Male,WHITE,"Middletown, Monmouth County"
2014,Monmouth County,Middletown,9/2/14,20:22,Middletown,Adam M Colfer,AdamMColferMiddletown,750 South Rt 35,Other Dispute,Male,WHITE,"Middletown, Monmouth County"
2014,Monmouth County,Middletown,10/14/14,16:10,,Adam M Colfer,AdamMColferMiddletown,Leonardo Motel,"Crime In Progress, Other: Searching Prisoner",Male,WHITE,"Middletown, Monmouth County"
2012,Monmouth County,Middletown,6/26/12,2:15,,Adam M Colfer,AdamMColferMiddletown,Middletown Train Station,Other Type Of Call: Intoxicated Subject,Not listed,,"Middletown, Monmouth County"
2014,Monmouth County,Middletown,4/7/14,0:00,,Adam M Colfer,AdamMColferMiddletown,Middletown Headquarters,Other: Crisis,Male,WHITE,"Middletown, Monmouth County"
2013,Monmouth County,Middletown,9/12/13,21:57,Red Bank,Adam M Colfer,AdamMColferMiddletown,"39 Maida Terrace, NJ 07701",Other: Crisis,Male,WHITE,"Middletown, Monmouth County"
2012,Monmouth County,Middletown,8/6/12,12:00,,Adam M Colfer,AdamMColferMiddletown,Port Monmouth Rd,Crime In Progress,Not listed,,"Middletown, Monmouth County"
2016,Monmouth County,Middletown,8/25/16,14:20,,Adam M Colfer,AdamMColferMiddletown,21 Truex Pl,"Crime In Progress, Other: Execution Of Arrest Warrant",Male,WHITE,"Middletown, Monmouth County"
2014,Monmouth County,Middletown,11/25/14,22:40,,Adam M Colfer,AdamMColferMiddletown,20 Willow Ave,Crime In Progress,Male,WHITE,"Middletown, Monmouth County"
2016,Monmouth County,Middletown,9/6/16,13:20,,Adam M Colfer,AdamMColferMiddletown,Braj/Sycamore,"Crime In Progress, Other: Resisting Arrest",Male,WHITE,"Middletown, Monmouth County"
2012,Monmouth County,Middletown,8/16/12,17:45,,Adam M Colfer,AdamMColferMiddletown,Boston Market,Other Type Of Call: Warrant,Not listed,,"Middletown, Monmouth County"
2016,Monmouth County,Middletown,9/22/16,17:40,,Adam M Colfer,AdamMColferMiddletown,Port Monmouth/Bay,Crime In Progress,Male,WHITE,"Middletown, Monmouth County"
2012,Monmouth County,Middletown,10/7/12,2:45,,Adam M Colfer,AdamMColferMiddletown,1 Kings Hwy,Domestic,Not listed,,"Middletown, Monmouth County"
2012,Monmouth County,Middletown,10/26/12,3:30,Ramsey,Adam M Colfer,AdamMColferMiddletown,Terrace/ Keansburg,Crime In Progress,Male,WHITE,"Middletown, Monmouth County"
2012,Monmouth County,Middletown,12/26/12,1:10,Port Monmouth,Adam M Colfer,AdamMColferMiddletown,615 Park Ave,Other Dispute,Male,WHITE,"Middletown, Monmouth County"
2012,Bergen County,Teaneck,1/18/12,2:46,,Adam R Lohsen,AdamRLohsenTeaneck,1000 Cedar Lane,Suspicious Person,Not listed,,"Teaneck, Bergen County"
2012,Bergen County,Teaneck,11/25/12,2:30,Teaneck,Adam R Lohsen,AdamRLohsenTeaneck,100 Frank Burr Blvd NJ 07666,,Not listed,,"Teaneck, Bergen County"
