officerid,count,name,dept
RyanMChippendaleNeptuneTownship,29,Ryan M Chippendale,"Neptune Township, Monmouth County"
JamesHDeFazioMaplewood,29,James H DeFazio,"Maplewood, Essex County"
AnthonyRubertiVineland,29,Anthony Ruberti,"Vineland, Cumberland County"
JoshuaJKuhlweinTomsRiver,29,Joshua J Kuhlwein,"Toms River, Ocean County"
PatrickMoanGlassboro,28,Patrick Moan,"Glassboro, Gloucester County"
DavidGuzmanPerthAmboy,28,David Guzman,"Perth Amboy, Middlesex County"
KeithBlandParamus,28,Keith Bland,"Paramus, Bergen County"
FrankTimekAtlanticCity,28,Frank Timek,"Atlantic City, Atlantic County"
ChrisArciniegasLittleEggHarbor,28,Chris Arciniegas,"Little Egg Harbor, Ocean County"
FrankAMoschellaTomsRiver,28,Frank A Moschella,"Toms River, Ocean County"
MatthewISchmidtAtlanticCity,28,Matthew I Schmidt,"Atlantic City, Atlantic County"
CharlesEMesserLakewood,28,Charles E Messer,"Lakewood, Ocean County"
BruceAMauteMonroe,28,Bruce A Maute,"Monroe, Gloucester County"
MatthewCTeyssierGlassboro,28,Matthew C Teyssier,"Glassboro, Gloucester County"
JosePaisPerthAmboy,28,Jose Pais,"Perth Amboy, Middlesex County"
KevinGConwayNewBrunswick,28,Kevin Conway,"New Brunswick, Middlesex County"
VictorDContiRoselle,28,Victor Conti,"Roselle, Union County"
WilliamHeronPineHill,27,William J Heron,"Pine Hill, Camden County"
RudyRRuizDeptford,27,Rudy R Ruiz,"Deptford, Gloucester County"
ShaneWSawyersBridgetonCity,27,Shane W Sawyers,"Bridgeton City, Cumberland County"
JosephWernerBelleville,27,Joseph Werner,"Belleville, Essex County"
JohnathanRamosVineland,27,Johnathan Ramos,"Vineland, Cumberland County"
LuisCorroPerthAmboy,27,Luis Corro,"Perth Amboy, Middlesex County"
EdwardBenenatiElizabeth,27,Edward Benenati,"Elizabeth, Union County"
ThomasMRoeNewark,27,Thomas Roe,"Newark, Essex County"
NicholasABerardisAtlanticCity,27,Nicholas A Berardis,"Atlantic City, Atlantic County"
JosephAliseoElizabeth,27,Joseph Aliseo,"Elizabeth, Union County"
SeanMcMahonCamden,27,Sean McMahon,"Camden, Camden County"
JeffersonRiveraAtlanticCity,27,Jefferson Rivera,"Atlantic City, Atlantic County"
BradMarchesanoVineland,27,Brad Marchesano,"Vineland, Cumberland County"
JustinDraperAtlanticCity,27,Justin Draper,"Atlantic City, Atlantic County"
MichaelLFanfarilloGlassboro,27,Michael L Fanfarillo,"Glassboro, Gloucester County"
CliffordSpencerMountHolly,27,Clifford Spencer,"Mount Holly, Burlington County"
NicholasJRussoGlassboro,26,Nicholas J Russo,"Glassboro, Gloucester County"
MichaelJFoyTomsRiver,26,Michael J Foy,"Toms River, Ocean County"
MichaelDonsCamden,26,Michael Dons,"Camden, Camden County"
LuisAGonzalezCamden,26,Luis Gonzalez,"Camden, Camden County"
WilliamGHuttonTomsRiver,26,William G Hutton,"Toms River, Ocean County"
KennethEganCamden,26,Kenneth Egan,"Camden, Camden County"
NicholasKatzGloucester,26,Nicholas Katz,"Gloucester, Camden County"
DwightAdamsVineland,26,Dwight D Adams,"Vineland, Cumberland County"
TerryHallVineland,26,Terry Hall,"Vineland, Cumberland County"
ChristopherJDodsonAtlanticCity,26,Christopher J Dodson,"Atlantic City, Atlantic County"
PatrickDJoyceLongBranch,26,Patrick D Joyce,"Long Branch, Monmouth County"
MatthewJEglerMountHolly,26,M Egler,"Mount Holly, Burlington County"
EricMCicerelloLakewood,26,Eric M Cicerello,"Lakewood, Ocean County"
StevenHoubaryVineland,26,Steven Houbary,"Vineland, Cumberland County"
TimothyThielDover,25,Timothy Thiel,"Dover, Morris County"
FrankDMalettoNeptuneTownship,25,Frank D Maletto,"Neptune Township, Monmouth County"
EricBHarrisTomsRiver,25,Eric B Harris,"Toms River, Ocean County"
AaronJBernsteinTrenton,25,Aaron Bernstein,"Trenton, Mercer County"
RobertRunkleMillville,25,Robert Runkle,"Millville, Cumberland County"
MarinelaPaliAtlanticCity,25,Marinela Pali,"Atlantic City, Atlantic County"
SeanMSaundersGloucesterCity,25,Sean M Saunders,"Gloucester City, Camden County"
JasonMFisherGloucester,25,Jason M Fisher,"Gloucester, Camden County"
DavidHendershottVineland,25,David A Hendershott,"Vineland, Cumberland County"
BruceMVigliottaGlassboro,25,Bruce M Vigliotta,"Glassboro, Gloucester County"
JohnKenneySouthRiver,25,John Kenney,"South River, Middlesex County"
RicardoArias-VasquezOrange,25,Ricardo Arias-Vasquez,"Orange, Essex County"
JonathanRiveraNewBrunswick,24,Jonathan Rivera,"New Brunswick, Middlesex County"
NicholasCAumendoGloucester,24,Nicholas C Aumendo,"Gloucester, Camden County"
AaronFLayNeptuneTownship,24,Aaron F Lay,"Neptune Township, Monmouth County"
JamesHellerElizabeth,24,James Heller,"Elizabeth, Union County"
AthanasiosMikrosElizabeth,24,Athanasios Mikros,"Elizabeth, Union County"
BrianPMurphyMiddle,24,Brian P Murphy,"Middle, Cape May County"
NelsonNicholsSpotswood,24,Nelson Nichols,"Spotswood, Middlesex County"
GregoryJLiszczakNewBrunswick,24,Gregory J Liszczak,"New Brunswick, Middlesex County"
AngelLopezMillville,24,Angel Lopez,"Millville, Cumberland County"
JohnButschkyMillville,24,John Butschky,"Millville, Cumberland County"
FranklinBanosElizabeth,24,Franklin A Banos,"Elizabeth, Union County"
SeanCampbellElizabeth,24,Sean Campbell,"Elizabeth, Union County"
JohnFMarcinkoPerthAmboy,24,John F Marcinko,"Perth Amboy, Middlesex County"
EarlMcQuarryMountHolly,24,E McQuarry,"Mount Holly, Burlington County"
JoshLVadellAtlanticCity,23,Josh L Vadell,"Atlantic City, Atlantic County"
LucaPiscitelliBloomfield,23,Luca M Piscitelli,"Bloomfield, Essex County"
PabloCajigaOrange,23,Pablo G Cajiga,"Orange, Essex County"
JohnLynnRoselle,23,John Lynn,"Roselle, Union County"
DavidCavagnaroVineland,23,David J Cavagnaro,"Vineland, Cumberland County"
JhonatanQuispeRedBank,23,Jhonatan Quispe,"Red Bank, Monmouth County"
SimonJohnsonIrvington,23,Simon Johnson,"Irvington, Essex County"
VincentJPedalinoTomsRiver,23,Vincent J Pedalino,"Toms River, Ocean County"
KyeJunEastBrunswick,23,Kye Jun,"East Brunswick, Middlesex County"
JohnKellyCarteret,23,John Kelly,"Carteret, Middlesex County"
BryanCMaherNeptuneTownship,23,Bryan C Maher,"Neptune Township, Monmouth County"
MohammedKaiserAtlanticCity,23,Mohammed Keiser,"Atlantic City, Atlantic County"
ThomasJBlewittNeptuneTownship,23,Thomas J Blewitt,"Neptune Township, Monmouth County"
DanielMerrillLakewood,23,Daniel Merrill,"Lakewood, Ocean County"
FrederickDumontHamilton,23,Fred C Dumont,"Hamilton, Mercer County"
AnthonyDSteneckBelmar,23,Anthony D Steneck,"Belmar, Monmouth County"
CharlesCapelliVineland,23,Charles Capelli,"Vineland, Cumberland County"
PatrickSKearnsLakewood,23,Patrick S Kearns,"Lakewood, Ocean County"
PhilipRDavidsonAtlanticCity,23,Philip R Davidson,"Atlantic City, Atlantic County"
RafaelHernandezPaterson,23,Rafael Hernandez,"Paterson, Passaic County"
SterlingWheatenAtlanticCity,23,Sterling Wheaten,"Atlantic City, Atlantic County"
DominicAViscegliaGlassboro,23,Dominic A Visceglia,"Glassboro, Gloucester County"
SalJudehPaterson,23,Sal Judeh,"Paterson, Passaic County"
JeffreyMMonticelloNewBrunswick,23,Jeff M Monticello,"New Brunswick, Middlesex County"
AnthonyOliveraHoboken,23,Anthony Olivera,"Hoboken, Hudson County"
KylePesceCamden,23,Kyle Pesce,"Camden, Camden County"
FrankieALaneAtlanticCity,23,Frankie A Lane,"Atlantic City, Atlantic County"
NigelShockleyCamden,23,Nigel Shockley,"Camden, Camden County"
DelmontePryorRoselle,23,D Pryor,"Roselle, Union County"
LuisASantiagoBridgetonCity,23,Luis A Santiago,"Bridgeton City, Cumberland County"
JoshuaJAdieyefehGlassboro,22,Joshua J Adieyefeh,"Glassboro, Gloucester County"
DanielDerienzoParamus,22,Daniel Derienzo,"Paramus, Bergen County"
TimothyCStapferElizabeth,22,Timothy Stapfer,"Elizabeth, Union County"
JuanGarciaPassaic,22,Juan Garcia,"Passaic, Passaic County"
WilliamCollinsHoboken,22,William Collins,"Hoboken, Hudson County"
GeorgeCMancusoAtlanticCity,22,George C Mancuso,"Atlantic City, Atlantic County"
RonaldAGorneauGalloway,22,Ronald A Gorneau,"Galloway, Atlantic County"
MichaelNicolasElizabeth,22,Michael Nicolas,"Elizabeth, Union County"
GaryRHolmesAtlanticCity,22,Gary R Holmes,"Atlantic City, Atlantic County"
MatthewBonsallVineland,22,Matthew Bonsall,"Vineland, Cumberland County"
DerekLWaltonGlassboro,22,Derek L Walton,"Glassboro, Gloucester County"
MichaelPCassadyTomsRiver,22,Michael P Cassady,"Toms River, Ocean County"
MindyLKnightGlassboro,22,Mindy L Knight,"Glassboro, Gloucester County"
NicholasWRaoCamden,22,Nicholas W Rao,"Camden, Camden County"
PatrickJoyceLongBranch,22,Patrick Joyce,"Long Branch, Monmouth County"
SeanWilliamsLindenwold,22,Sean Williams,"Lindenwold, Camden County"
RobertBogdanskiNewBrunswick,22,Robert Bogdanski,"New Brunswick, Middlesex County"
JamesCHerbertAtlanticCity,22,James C Herbert,"Atlantic City, Atlantic County"
JesseCDickersonMorristown,22,Jesse C Dickerson,"Morristown, Morris County"
DonaldBoiceWildwood,21,Donald Boice,"Wildwood, Cape May County"
JosephDRiveraLinden,21,Joseph D Rivera,"Linden, Union County"
VernBabkaMillville,21,Vern Babka,"Millville, Cumberland County"
JosephASavastanoNeptuneTownship,21,Joseph A Savastano,"Neptune Township, Monmouth County"
ChristianGuadalupeVineland,21,Christian Guadalupe,"Vineland, Cumberland County"
GavinMSheehanLinden,21,Gavin M Sheehan,"Linden, Union County"
KeithRBarrettPineHill,21,Keith Barrett,"Pine Hill, Camden County"
JonathanCincillaTrenton,21,Jonathan Cincilla,"Trenton, Mercer County"
MatthewBrowneVineland,21,Matthew Browne,"Vineland, Cumberland County"
DamonJohnsonEastOrange,21,Damon Johnson,"East Orange, Essex County"
ThomasPMcCabeAtlanticCity,21,Thomas P McCabe,"Atlantic City, Atlantic County"
NicholasFabbroniCamden,21,Nicholas Fabbroni,"Camden, Camden County"
WilliamJTurnerMapleShade,21,William J Turner,"Maple Shade, Burlington County"
EricHPetrMorristown,21,E Petr,"Morristown, Morris County"
SeanWSimpkinsSalemCity,21,Sean Simpkins,"Salem City, Salem County"
WilliamHerreriasAtlanticCity,21,William Herrerias,"Atlantic City, Atlantic County"
MatthewGibbonsWinslow,21,Matthew Gibbons,"Winslow, Camden County"
JamesStevensWildwood,21,James Stevens,"Wildwood, Cape May County"
SamuelGonzalezTrenton,21,Samuel Gonzalez,"Trenton, Mercer County"
KristieMBubleLakewood,21,Kristie M Buble,"Lakewood, Ocean County"
AndrewCondratEwing,21,Andrew Condrat,"Ewing, Mercer County"
ChristopherLLoDicoAtlanticCity,21,Christopher L Lodico,"Atlantic City, Atlantic County"
JosephMagriniHopatcong,21,Joseph Magrini,"Hopatcong, Sussex County"
JeffreyGalantHamilton,21,Jeff Galant,"Hamilton, Mercer County"
DavidRFormezaPerthAmboy,21,David Formela,"Perth Amboy, Middlesex County"
TimothyRehmannMillville,21,Timothy Rehmann,"Millville, Cumberland County"
SamuelJohnsonTrenton,21,Samuel Johnson,"Trenton, Mercer County"
ElvinNunezCamden,20,Elvin Nunez,"Camden, Camden County"
RonaldCamachoDover,20,Ronald Camacho,"Dover, Morris County"
StanleyBalmerRedBank,20,Stanley Balmer,"Red Bank, Monmouth County"
JosephWCampBridgetonCity,20,Joseph W Camp,"Bridgeton City, Cumberland County"
JaredMHalpernEvesham,20,Jared M Halpern,"Evesham, Burlington County"
RichardJJanasiakVineland,20,Richard J Janasiak,"Vineland, Cumberland County"
RichardO'BrienLongBranch,20,R O'Brien,"Long Branch, Monmouth County"
StephenHedbergPerthAmboy,20,Stephen D Hedberg,"Perth Amboy, Middlesex County"
AnthonyJScaliTomsRiver,20,Anthony J Scali,"Toms River, Ocean County"
DonaldJYoungBridgetonCity,20,Donald J Young,"Bridgeton City, Cumberland County"
DonnellHollandAtlanticCity,20,Donnell A Holland,"Atlantic City, Atlantic County"
MatthewLaielliPleasantville,20,Matthew Laielli,"Pleasantville, Atlantic County"
RobertPSheppardEggHarborTownship,20,Robert P Sheppard,"Egg Harbor Township, Atlantic County"
NoelASantiagoTrenton,20,Noel A Santiago,"Trenton, Mercer County"
JeremyFelderLakewood,20,Jeremy Felder,"Lakewood, Ocean County"
RobertoMatosAtlanticCity,20,Roberto Matos,"Atlantic City, Atlantic County"
RaymondDGarciaEastOrange,20,Raymond D Garcia,"East Orange, Essex County"
RobertMRobbinsBridgetonCity,20,Robert M Robbins,"Bridgeton City, Cumberland County"
VictorDelgadoNewBrunswick,20,Victor Delgado,"New Brunswick, Middlesex County"
JosephTomasettiLindenwold,20,Joseph Tomasetti,"Lindenwold, Camden County"
WilliamJObuchowskiCinnaminson,20,William J Obuchowski,"Cinnaminson, Burlington County"
SergioVOrtizJerseyCity,20,Sergio V Ortiz,"Jersey City, Hudson County"
JoseLTorresPaterson,20,Jose L Torres,"Paterson, Passaic County"
BrianCostaNewark,20,Brian Costa,"Newark, Essex County"
ChristopherMcMullenSalemCity,20,Christopher McMullen,"Salem City, Salem County"
RichardHernandezElizabeth,20,R A Hernandez,"Elizabeth, Union County"
JustinSelbyVineland,20,Justin Selby,"Vineland, Cumberland County"
JosephMPalkoEdison,20,Joseph M Palko,"Edison, Middlesex County"
WilliamMFrettCamden,20,William Frett,"Camden, Camden County"
SeanPFreemanNewBrunswick,20,Sean P Freeman,"New Brunswick, Middlesex County"
RyanMTaltyBrick,20,Ryan M Talty,"Brick, Ocean County"
JorgeFarinasElizabeth,20,Jorge A Farinas,"Elizabeth, Union County"
TimothyPLongTrenton,20,Timothy P Long,"Trenton, Mercer County"
DavidJVannoniGloucester,20,David J Vannoni,"Gloucester, Camden County"
FranciscoUrenaPassaic,20,Francisco Urena,"Passaic, Passaic County"
MarcStevensMonroe,20,Marc Stevens,"Monroe, Gloucester County"
ThomasRuaneNewark,20,Thomas Ruane,"Newark, Essex County"
MichaelCalchiMillville,20,Michael Calchi,"Millville, Cumberland County"
RobertLJonesDeptford,19,Robert L Jones,"Deptford, Gloucester County"
EricGoraElizabeth,19,E Gora,"Elizabeth, Union County"
ChristopherDevlinCamden,19,Christopher Devlin,"Camden, Camden County"
TerryEBrowningBradleyBeach,19,Terry Browning,"Bradley Beach, Monmouth County"
DennisConveryCamden,19,Dennis Convery,"Camden, Camden County"
AnthonyGrandinettiCamden,19,Anthony Grandinetti,"Camden, Camden County"
OnofreCabezasNewark,19,Onofre Cabezas,"Newark, Essex County"
SteveMelchioreAtlanticCity,19,Steve A Melchiore,"Atlantic City, Atlantic County"
JohnCamarcaRedBank,19,John Camarca,"Red Bank, Monmouth County"
KevinJMichaelAsburyPark,19,Kevin J Michael,"Asbury Park, Monmouth County"
ChristopherDSmithAtlanticCity,19,Christopher Smith,"Atlantic City, Atlantic County"
JosephSassinePerthAmboy,19,Joseph Sassine,"Perth Amboy, Middlesex County"
JohnKKavakichClifton,19,John K Kavakich,"Clifton, Passaic County"
ChristopherSegarraNewark,19,Christopher Segarra,"Newark, Essex County"
IvanPLopezAtlanticCity,19,Ivan Lopez,"Atlantic City, Atlantic County"
NicholasMalettoRedBank,19,Nicholas D Maletto,"Red Bank, Monmouth County"
FrancisStylesBayonne,19,Francis Styles,"Bayonne, Hudson County"
LouisSpagnolaPaterson,19,Louis Spagnola,"Paterson, Passaic County"
CharlesBWilliamsGlassboro,19,Charles B Williams,"Glassboro, Gloucester County"
EduardoAndinoElizabeth,19,E Andino,"Elizabeth, Union County"
DanielCalabreseWinslow,19,Daniel Calabrese,"Winslow, Camden County"
ChristopherMasseyAtlanticCity,19,Christopher J Massey,"Atlantic City, Atlantic County"
DanielColombaroCamden,19,Daniel Colombaro,"Camden, Camden County"
JosephJBereheikoAtlanticCity,19,Joseph J Bereheiko,"Atlantic City, Atlantic County"
JoseTorresVineland,19,Jose Torres,"Vineland, Cumberland County"
MatthewRogersAtlanticCity,19,Matthew Rogers,"Atlantic City, Atlantic County"
EdwardSlimmLindenwold,19,Edward Slimm,"Lindenwold, Camden County"
MatthewKlineLittleEggHarbor,19,Matthew Kline,"Little Egg Harbor, Ocean County"
RobertDeJesusNorthPlainfield,19,Robert DeJesus,"North Plainfield, Somerset County"
BryanSkillNorthWildwood,19,Bryan P Skill,"North Wildwood, Cape May County"
TimothyLyonsWaterford,19,Timothy A Lyons,"Waterford, Camden County"
EmmaCabreraPerthAmboy,19,Emma Cabrera,"Perth Amboy, Middlesex County"
NicholasRomanoLongBranch,19,Nicholas J Romano,"Long Branch, Monmouth County"
StephenSEubanksTomsRiver,19,S Eubanks,"Toms River, Ocean County"
CharlesSGatnarekManchester,19,Charles S Gatnarek,"Manchester, Ocean County"
JosephVMazzaNorthPlainfield,19,Joseph V Mazza,"North Plainfield, Somerset County"
JasonDiazCamden,19,Jason Diaz,"Camden, Camden County"
TimothyColellaEggHarborTownship,19,T Colella,"Egg Harbor Township, Atlantic County"
JasonREfelisPennsville,19,Jason Efelis,"Pennsville, Salem County"
AlexOrtizPassaic,19,Alexis Ortiz,"Passaic, Passaic County"
AndreGravesPleasantville,19,Andre Graves,"Pleasantville, Atlantic County"
JasonESailerGloucester,19,Jason Sailer,"Gloucester, Camden County"
LorenzoMPettwayAsburyPark,19,Lorenzo M Pettway,"Asbury Park, Monmouth County"
JustinRodriguezPassaic,19,Justin Rodriguez,"Passaic, Passaic County"
JasonParrattCamden,19,Jason Parratt,"Camden, Camden County"
AllenRWilliamsCamden,19,Allen R Williams,"Camden, Camden County"
EliezerRamosTrenton,19,Eliezer Ramos,"Trenton, Mercer County"
AndresLebronIrvington,19,Andres Lebron,"Irvington, Essex County"
JohnHoodBelleville,18,John Hood,"Belleville, Essex County"
ThomasLBurginBoundBrook,18,Thomas L Burgin,"Bound Brook, Somerset County"
MatthewSiciliaWildwood,18,Matthew Sicilia,"Wildwood, Cape May County"
RichardJRobertielloHowell,18,Richard J Robertiello,"Howell, Monmouth County"
BarryDLarawayRoselle,18,B Laraway,"Roselle, Union County"
MarkCFerraroMaplewood,18,Mark C Ferraro,"Maplewood, Essex County"
KevinSpragueVineland,18,Kevin Sprague,"Vineland, Cumberland County"
TimothyLindbergHaledon,18,Timothy Lindberg,"Haledon, Passaic County"
DavidCanicaNorthPlainfield,18,David Canica,"North Plainfield, Somerset County"
BenjaminWMcKinneyGloucesterCity,18,Benjamin McKinney,"Gloucester City, Camden County"
YBelonElizabeth,18,Y Belon,"Elizabeth, Union County"
CharlesMollineauxBelleville,18,Charles Mollineaux,"Belleville, Essex County"
RonaldFBroomallBridgetonCity,18,Ronald Broomall,"Bridgeton City, Cumberland County"
GeorgeMBamberaBloomfield,18,George Bambera,"Bloomfield, Essex County"
TimothyDBrownGlassboro,18,Timothy D Brown,"Glassboro, Gloucester County"
DanteNLaspataGlassboro,18,Dante N Laspata,"Glassboro, Gloucester County"
DanielWanatHillside,18,Daniel Wanat,"Hillside, Union County"
ChaseGMesserLakewood,18,Chase G Messer,"Lakewood, Ocean County"
RobertRunofNewBrunswick,18,Robert R Runof,"New Brunswick, Middlesex County"
AnthonyGrajales-PradoAtlanticCity,18,Anthony Grajales-Prado,"Atlantic City, Atlantic County"
AnthonyFGuralElizabeth,18,Anthony F Gural,"Elizabeth, Union County"
ShawnScottMillville,18,Shawn Scott,"Millville, Cumberland County"
TimTaborPaterson,18,Timothy Tabor,"Paterson, Passaic County"
KyleGrafCamden,18,Kyle Graf,"Camden, Camden County"
RobertHayesBridgetonCity,18,Robert Hayes,"Bridgeton City, Cumberland County"
RubenVelazquezPerthAmboy,18,Ruben Velazquez,"Perth Amboy, Middlesex County"
MalikMTolbertAtlanticCity,18,Malik M Tolbert,"Atlantic City, Atlantic County"
MarvinCShawNewBrunswick,18,Marvin C Shaw,"New Brunswick, Middlesex County"
KevinKunzigPaterson,18,Kevin M Kunzig,"Paterson, Passaic County"
BrechnerJeannotIrvington,18,Brechner Jeannot,"Irvington, Essex County"
JamesKarinsAtlanticCity,18,James Karins,"Atlantic City, Atlantic County"
JonathanMinacapelliSouthRiver,18,Jonathan Minacapelli,"South River, Middlesex County"
NicholasRFrancoTomsRiver,18,Nicholas Franco,"Toms River, Ocean County"
MichaelAYoungLakewood,18,Michael Young,"Lakewood, Ocean County"
NicholasMGrungoLindenwold,18,Nicholas Grungo,"Lindenwold, Camden County"
MustafaOzdemirVineland,18,Mustafa Ozdemir,"Vineland, Cumberland County"
ThomasJGoganAsburyPark,18,Thomas Gogan,"Asbury Park, Monmouth County"
MichaelJYeeBelmar,18,Michael J Yee,"Belmar, Monmouth County"
RobertJReynoldsAtlanticCity,18,Robert J Reynolds,"Atlantic City, Atlantic County"
MatthewDonnellyWildwood,18,Matthew Donnelly,"Wildwood, Cape May County"
RyanDeGrawNewBrunswick,18,Ryan Degraw,"New Brunswick, Middlesex County"
