officerid,sId,count,dept,name
ManuelGonzalezPaterson,4,30,"Paterson, Passaic County",Manuel Gonzalez
RyanMChippendaleNeptuneTownship,5,30,"Neptune Township, Monmouth County",Ryan Chippendale
EdwardAOLanoGloucester,6,30,"Gloucester, Camden County",Edward OLano
LeonardCastielloGloucester,7,30,"Gloucester, Camden County",Leonard Castiello
ChrisArciniegasLittleEggHarbor,0,29,"Little Egg Harbor, Ocean County",Chris Arciniegas
VictorDContiRoselle,1,29,"Roselle, Union County",Victor Conti
CliffordSpencerMountHolly,2,29,"Mount Holly, Burlington County",Clifford Spencer
AnthonyRubertiVineland,3,29,"Vineland, Cumberland County",Anthony Ruberti
JamesHDeFazioMaplewood,4,29,"Maplewood, Essex County",James DeFazio
NicholasJWhelanGlassboro,5,29,"Glassboro, Gloucester County",Nicholas Whelan
JoshuaJKuhlweinTomsRiver,6,29,"Toms River, Ocean County",Joshua Kuhlwein
KeithMHendersonCamden,7,29,"Camden, Camden County",Keith Henderson
GerardMoughanVineland,8,29,"Vineland, Cumberland County",Gerard Moughan
FrankDMalettoNeptuneTownship,9,29,"Neptune Township, Monmouth County",Frank Maletto
AnthonyPizzoLindenwold,10,29,"Lindenwold, Camden County",Anthony Pizzo
KevinGConwayNewBrunswick,0,28,"New Brunswick, Middlesex County",Kevin Conway
JosephWernerBelleville,1,28,"Belleville, Essex County",Joseph Werner
PatrickMoanGlassboro,2,28,"Glassboro, Gloucester County",Patrick Moan
MatthewCTeyssierGlassboro,3,28,"Glassboro, Gloucester County",Matthew Teyssier
BruceAMauteMonroe,4,28,"Monroe, Gloucester County",Bruce Maute
DavidGuzmanPerthAmboy,5,28,"Perth Amboy, Middlesex County",David Guzman
FrankAMoschellaTomsRiver,6,28,"Toms River, Ocean County",Frank Moschella
CharlesEMesserLakewood,7,28,"Lakewood, Ocean County",Charles Messer
FrankTimekAtlanticCity,8,28,"Atlantic City, Atlantic County",Frank Timek
KeithBlandParamus,9,28,"Paramus, Bergen County",Keith Bland
AlexanderRodriguezCamden,10,28,"Camden, Camden County",Alexander Rodriguez
MatthewISchmidtAtlanticCity,11,28,"Atlantic City, Atlantic County",Matthew Schmidt
JosePaisPerthAmboy,12,28,"Perth Amboy, Middlesex County",Jose Pais
JustinDraperAtlanticCity,0,27,"Atlantic City, Atlantic County",Justin Draper
SalJudehPaterson,1,27,"Paterson, Passaic County",Sal Judeh
ShaneWSawyersBridgetonCity,2,27,"Bridgeton City, Cumberland County",Shane Sawyers
JohnathanRamosVineland,3,27,"Vineland, Cumberland County",Johnathan Ramos
LuisCorroPerthAmboy,4,27,"Perth Amboy, Middlesex County",Luis Corro
BradMarchesanoVineland,5,27,"Vineland, Cumberland County",Brad Marchesano
RudyRRuizDeptford,6,27,"Deptford, Gloucester County",Rudy Ruiz
SeanMcMahonCamden,7,27,"Camden, Camden County",Sean McMahon
AthanasiosMikrosElizabeth,8,27,"Elizabeth, Union County",Athanasios Mikros
EdwardBenenatiElizabeth,9,27,"Elizabeth, Union County",Edward Benenati
ShawnMRuizTomsRiver,10,27,"Toms River, Ocean County",Shawn Ruiz
WilliamHeronPineHill,11,27,"Pine Hill, Camden County",William Heron
MichaelLFanfarilloGlassboro,12,27,"Glassboro, Gloucester County",Michael Fanfarillo
JeffersonRiveraAtlanticCity,13,27,"Atlantic City, Atlantic County",Jefferson Rivera
ThomasRoeNewark,14,27,"Newark, Essex County",Thomas Roe
MatthewEglerMountHolly,0,26,"Mount Holly, Burlington County",Matthew Egler
TerryHallVineland,1,26,"Vineland, Cumberland County",Terry Hall
MichaelDonsCamden,2,26,"Camden, Camden County",Michael Dons
LuisAGonzalezCamden,3,26,"Camden, Camden County",Luis Gonzalez
DwightAdamsVineland,4,26,"Vineland, Cumberland County",Dwight Adams
ChristopherJDodsonAtlanticCity,5,26,"Atlantic City, Atlantic County",Christopher Dodson
EricMCicerelloLakewood,6,26,"Lakewood, Ocean County",Eric Cicerello
NicholasJRussoGlassboro,7,26,"Glassboro, Gloucester County",Nicholas Russo
BruceMVigliottaGlassboro,8,26,"Glassboro, Gloucester County",Bruce Vigliotta
ChristopherLLoDicoAtlanticCity,9,26,"Atlantic City, Atlantic County",Christopher LoDico
MichaelJFoyTomsRiver,10,26,"Toms River, Ocean County",Michael Foy
WilliamGHuttonTomsRiver,11,26,"Toms River, Ocean County",William Hutton
StevenHoubaryVineland,12,26,"Vineland, Cumberland County",Steven Houbary
NicholasKatzGloucester,13,26,"Gloucester, Camden County",Nicholas Katz
YoanBelonElizabeth,14,26,"Elizabeth, Union County",Y Belon
EricBHarrisTomsRiver,0,25,"Toms River, Ocean County",Eric Harris
TimothyThielDover,1,25,"Dover, Morris County",Timothy Thiel
DavidHendershottVineland,2,25,"Vineland, Cumberland County",David Hendershott
JamesWKarinsAtlanticCity,3,25,"Atlantic City, Atlantic County",James Karins
RicardoArias-VasquezOrange,4,25,"Orange, Essex County",Ricardo Arias
MarinelaPaliAtlanticCity,5,25,"Atlantic City, Atlantic County",Marinela Pali
KennethEganCamden,6,25,"Camden, Camden County",Kenneth Egan
JohnKenneySouthRiver,7,25,"South River, Middlesex County",John Kenney
SeanMSaundersGloucesterCity,8,25,"Gloucester City, Camden County",Sean Saunders
JasonMFisherGloucester,9,25,"Gloucester, Camden County",Jason Fisher
LorenzoMPettwayAsburyPark,10,25,"Asbury Park, Monmouth County",Lorenzo Pettway
JosephRiveraLinden,11,25,"Linden, Union County",Joseph Rivera
FrederickDumontHamilton,12,25,"Hamilton, Mercer County",Frederick Dumont
FranklinBanosElizabeth,13,25,"Elizabeth, Union County",Franklin Banos
AaronJBernsteinTrenton,14,25,"Trenton, Mercer County",Aaron Bernstein
JonathanRiveraNewBrunswick,0,24,"New Brunswick, Middlesex County",Jonathan Rivera
AaronFLayNeptuneTownship,1,24,"Neptune Township, Monmouth County",Aaron Lay
BryanCMaherNeptuneTownship,2,24,"Neptune Township, Monmouth County",Bryan Maher
EarlMcQuarryMountHolly,3,24,"Mount Holly, Burlington County",E McQuarry
NicholasCAumendoGloucester,4,24,"Gloucester, Camden County",Nicholas Aumendo
NelsonNicholsSpotswood,5,24,"Spotswood, Middlesex County",Nelson Nichols
ChristopherMasseyAtlanticCity,6,24,"Atlantic City, Atlantic County",Christopher Massey
FrancisStylesBayonne,7,24,"Bayonne, Hudson County",Francis Styles
AngelLopezMillville,8,24,"Millville, Cumberland County",Angel Lopez
JohnLynnRoselle,9,24,"Roselle, Union County",John Lynn
MohammedKaiserAtlanticCity,10,24,"Atlantic City, Atlantic County",Mohammed Keiser
SterlingWheatenAtlanticCity,11,24,"Atlantic City, Atlantic County",Sterling Wheaten
BrianPMurphyMiddle,12,24,"Middle, Cape May County",Brian Murphy
RobertRunkleMillville,13,24,"Millville, Cumberland County",Robert Runkle
GregoryJLiszczakNewBrunswick,14,24,"New Brunswick, Middlesex County",Gregory Liszczak
PatrickSKearnsLakewood,15,24,"Lakewood, Ocean County",Patrick Kearns
JohnButschkyMillville,16,24,"Millville, Cumberland County",John Butschky
PabloCajigaOrange,17,24,"Orange, Essex County",Pablo Cajiga
JohnFMarcinkoPerthAmboy,18,24,"Perth Amboy, Middlesex County",John Marcinko
MichaelPCassadyTomsRiver,19,24,"Toms River, Ocean County",Michael Cassady
SeanCampbellElizabeth,20,24,"Elizabeth, Union County",Sean Campbell
KylePesceCamden,0,23,"Camden, Camden County",Kyle Pesce
DominicAViscegliaGlassboro,1,23,"Glassboro, Gloucester County",Dominic Visceglia
AnthonyDSteneckBelmar,2,23,"Belmar, Monmouth County",Anthony Steneck
GeorgeCMancusoAtlanticCity,3,23,"Atlantic City, Atlantic County",George Mancuso
PhilipRDavidsonAtlanticCity,4,23,"Atlantic City, Atlantic County",Philip Davidson
JohnKellyCarteret,5,23,"Carteret, Middlesex County",John Kelly
KyeJunEastBrunswick,6,23,"East Brunswick, Middlesex County",Kye Jun
LuisASantiagoBridgetonCity,7,23,"Bridgeton City, Cumberland County",Luis Santiago
CharlesCapelliVineland,8,23,"Vineland, Cumberland County",Charles Capelli
ThomasPMcCabeAtlanticCity,9,23,"Atlantic City, Atlantic County",Thomas McCabe
VincentJPedalinoTomsRiver,10,23,"Toms River, Ocean County",Vincent Pedalino
RogerWWorleyBridgetonCity,11,23,"Bridgeton City, Cumberland County",Blank Worley
NigelShockleyCamden,12,23,"Camden, Camden County",Nigel Shockley
DavidCavagnaroVineland,13,23,"Vineland, Cumberland County",David Cavagnaro
LucaPiscitelliBloomfield,14,23,"Bloomfield, Essex County",Luca Piscitelli
DelmontePryorRoselle,15,23,"Roselle, Union County",D Pryor
DanielMerrillLakewood,16,23,"Lakewood, Ocean County",Daniel Merrill
RonaldCamachoDover,17,23,"Dover, Morris County",Ronald Camacho
JeffreyMMonticelloNewBrunswick,18,23,"New Brunswick, Middlesex County",Jeff Monticello
AnthonyOliveraHoboken,19,23,"Hoboken, Hudson County",Anthony Olivera
ThomasJBlewittNeptuneTownship,20,23,"Neptune Township, Monmouth County",Thomas Blewitt
JhonatanQuispeRedBank,21,23,"Red Bank, Monmouth County",Jhonatan Quispe
FrankieALaneAtlanticCity,22,23,"Atlantic City, Atlantic County",Frankie Lane
TimothyCStapferElizabeth,0,22,"Elizabeth, Union County",Timothy Stapfer
NicholasWRaoCamden,1,22,"Camden, Camden County",Nicholas Rao
JonathanCincillaTrenton,2,22,"Trenton, Mercer County",Jonathan Cincilla
DanielDerienzoParamus,3,22,"Paramus, Bergen County",Daniel Derienzo
JuanGarciaPassaic,4,22,"Passaic, Passaic County",Juan Garcia
MichaelNicolasElizabeth,5,22,"Elizabeth, Union County",M Nicolas
MatthewBonsallVineland,6,22,"Vineland, Cumberland County",Matthew Bonsall
BrentWDooleyAtlanticCity,7,22,"Atlantic City, Atlantic County",Brent Dooley
SeanWilliamsLindenwold,8,22,"Lindenwold, Camden County",Sean Williams
JesseCDickersonMorristown,9,22,"Morristown, Morris County",Jesse Dickerson
RonaldAGorneauGalloway,10,22,"Galloway, Atlantic County",Ronald Gorneau
GaryRHolmesAtlanticCity,11,22,"Atlantic City, Atlantic County",Gary Holmes
SimonJohnsonIrvington,12,22,"Irvington, Essex County",Simon Johnson
WilliamCollinsHoboken,13,22,"Hoboken, Hudson County",William Collins
DerekLWaltonGlassboro,14,22,"Glassboro, Gloucester County",Derek Walton
DavidRFormezaPerthAmboy,15,22,"Perth Amboy, Middlesex County",David Formeza
MindyLKnightGlassboro,16,22,"Glassboro, Gloucester County",Mindy Knight
EdwardSlimmLindenwold,17,22,"Lindenwold, Camden County",Edward Slimm
JamesCHerbertAtlanticCity,18,22,"Atlantic City, Atlantic County",James Herbert
BrianCostaNewark,0,21,"Newark, Essex County",Brian Costa
DonaldBoiceWildwood,1,21,"Wildwood, Cape May County",Donald Boice
SamuelGonzalezTrenton,2,21,"Trenton, Mercer County",Samuel Gonzalez
EricHPetrMorristown,3,21,"Morristown, Morris County",Eric Petr
AndrewCondratEwing,4,21,"Ewing, Mercer County",Andrew Condrat
MatthewGibbonsWinslow,5,21,"Winslow, Camden County",Matthew Gibbons
JosephMagriniHopatcong,6,21,"Hopatcong, Sussex County",Joseph Magrini
WilliamHerreriasAtlanticCity,7,21,"Atlantic City, Atlantic County",William Herrerias
ChristianGuadalupeVineland,8,21,"Vineland, Cumberland County",Christian Guadalupe
OnofreCabezasNewark,9,21,"Newark, Essex County",Onofre Cabezas
JeremyFelderLakewood,10,21,"Lakewood, Ocean County",Jeremy Felder
SamuelJohnsonTrenton,11,21,"Trenton, Mercer County",Samuel Johnson
JamesRickeyHamilton,12,21,"Hamilton, Mercer County",James Rickey
ChristopherDSmithAtlanticCity,13,21,"Atlantic City, Atlantic County",Christopher Smith
DamonJohnsonEastOrange,14,21,"East Orange, Essex County",Damon Johnson
JasonESailerGloucester,15,21,"Gloucester, Camden County",Jason Sailer
KeithRBarrettPineHill,16,21,"Pine Hill, Camden County",Keith Barrett
RichardJJanasiakVineland,17,21,"Vineland, Cumberland County",Richard Janasiak
TimothyRehmannMillville,18,21,"Millville, Cumberland County",Timothy Rehmann
NicholasFabbroniCamden,19,21,"Camden, Camden County",Nicholas Fabbroni
SeanWSimpkinsSalemCity,20,21,"Salem City, Salem County",Sean Simpkins
JeffreyGalantHamilton,21,21,"Hamilton, Mercer County",Jeffrey Galant
WilliamJTurnerMapleShade,22,21,"Maple Shade, Burlington County",William Turner
JosephASavastanoNeptuneTownship,23,21,"Neptune Township, Monmouth County",Joseph Savastano
DouglasPWallaceGloucester,24,21,"Gloucester, Camden County",Douglas Wallace
MatthewBrowneVineland,25,21,"Vineland, Cumberland County",Matthew Browne
RichardDixonEvesham,26,21,"Evesham, Burlington County",Rich Dixon
JamesStevensWildwood,27,21,"Wildwood, Cape May County",James Stevens
VernBabkaMillville,28,21,"Millville, Cumberland County",Vern Babka
KristieMBubleLakewood,29,21,"Lakewood, Ocean County",Kristie Buble
VictorDelgadoNewBrunswick,30,21,"New Brunswick, Middlesex County",Victor Delgado
SergioVOrtizJerseyCity,31,21,"Jersey City, Hudson County",Sergio Ortiz
RobertBogdanskiNewBrunswick,32,21,"New Brunswick, Middlesex County",Robert Bogdanski
JustinSelbyVineland,33,21,"Vineland, Cumberland County",Justin Selby
RyanMTaltyBrick,0,20,"Brick, Ocean County",Ryan Talty
NicholasRLaLenaMountHolly,1,20,"Mount Holly, Burlington County",Nicholas Lalena
DavidJVannoniGloucester,2,20,"Gloucester, Camden County",David Vannoni
StephenHedbergPerthAmboy,3,20,"Perth Amboy, Middlesex County",Stephen Hedberg
MarcStevensMonroe,4,20,"Monroe, Gloucester County",Marc Stevens
DonaldJYoungBridgetonCity,5,20,"Bridgeton City, Cumberland County",Donald Young
JosephWCampBridgetonCity,6,20,"Bridgeton City, Cumberland County",Joseph Camp
AlexOrtizPassaic,7,20,"Passaic, Passaic County",Alexis Ortiz
RobertMRobbinsBridgetonCity,8,20,"Bridgeton City, Cumberland County",Robert Robbins
RichardHernandezElizabeth,9,20,"Elizabeth, Union County",Rich Hernandez
ChristopherMcMullenSalemCity,10,20,"Salem City, Salem County",Christopher McMullen
RobertPSheppardEggHarborTownship,11,20,"Egg Harbor Township, Atlantic County",Robert Sheppard
AnthonyJScaliTomsRiver,12,20,"Toms River, Ocean County",Anthony Scali
SeanPFreemanNewBrunswick,13,20,"New Brunswick, Middlesex County",Sean Freeman
RichardOBrienLongBranch,14,20,"Long Branch, Monmouth County",R OBrien
ThomasRuaneNewark,15,20,"Newark, Essex County",Thomas Ruane
FranciscoUrenaPassaic,16,20,"Passaic, Passaic County",Francisco Urena
ChristopherSegarraNewark,17,20,"Newark, Essex County",Christopher Segarra
DanielRiveraElizabeth,18,20,"Elizabeth, Union County",Dany Rivera
MartinJLuizziPaterson,19,20,"Paterson, Passaic County",Martin Luizzi
StanleyBalmerRedBank,20,20,"Red Bank, Monmouth County",Stanley Balmer
CharlesSGatnarekManchester,21,20,"Manchester, Ocean County",Charles Gatnarek
RaymondDGarciaEastOrange,22,20,"East Orange, Essex County",Raymond Garcia
JaredMHalpernEvesham,23,20,"Evesham, Burlington County",Jared Halpern
JoseLTorresPaterson,24,20,"Paterson, Passaic County",Jose Torres
RobertoMatosAtlanticCity,25,20,"Atlantic City, Atlantic County",Roberto Matos
WilliamMFrettCamden,26,20,"Camden, Camden County",William Frett
TimothyPLongTrenton,27,20,"Trenton, Mercer County",Timothy Long
NoelASantiagoTrenton,28,20,"Trenton, Mercer County",Noel Santiago
GavinMSheehanLinden,29,20,"Linden, Union County",Gavin Sheehan
AnthonyCampbellVoorhees,30,20,"Voorhees, Camden County",Anthony Campbell
WilliamJObuchowskiCinnaminson,31,20,"Cinnaminson, Burlington County",William Obuchowski
DonnellHollandAtlanticCity,32,20,"Atlantic City, Atlantic County",Donnell Holland
JosephASealsJerseyCity,33,20,"Jersey City, Hudson County",Joseph Seals
JosephMPalkoEdison,34,20,"Edison, Middlesex County",Joseph Palko
JorgeFarinasElizabeth,35,20,"Elizabeth, Union County",Jorge Farinas
DennisCBenignoWoodbridge,36,20,"Woodbridge, Middlesex County",Dennis Benigno
MichaelCalchiMillville,37,20,"Millville, Cumberland County",Michael Calchi
JosephTomasettiLindenwold,38,20,"Lindenwold, Camden County",Joseph Tomasetti
MatthewLaielliPleasantville,39,20,"Pleasantville, Atlantic County",Matthew Laielli
KevinKunzigPaterson,40,20,"Paterson, Passaic County",Kevin Kunzig
TimothyLyonsWaterford,0,19,"Waterford, Camden County",Timothy Lyons
AnthonyFGuralElizabeth,1,19,"Elizabeth, Union County",Anthony Gural
SteveMelchioreAtlanticCity,2,19,"Atlantic City, Atlantic County",Steve Melchiore
WilliamHNiebanckPaterson,3,19,"Paterson, Passaic County",William Niebanck
JosephVMazzaNorthPlainfield,4,19,"North Plainfield, Somerset County",Joseph Mazza
EricGoraElizabeth,5,19,"Elizabeth, Union County",E Gora
CharlesMollineauxBelleville,6,19,"Belleville, Essex County",Charles Mollineaux
StephenSEubanksTomsRiver,7,19,"Toms River, Ocean County",Stephen Eubanks
TimothyColellaEggHarborTownship,8,19,"Egg Harbor Township, Atlantic County",T Colella
EmmaCabreraPerthAmboy,9,19,"Perth Amboy, Middlesex County",Emma Cabrera
TimTaborPaterson,10,19,"Paterson, Passaic County",Tim Tabor
JohnCamarcaRedBank,11,19,"Red Bank, Monmouth County",John Camarca
AndresLebronIrvington,12,19,"Irvington, Essex County",Andres Lebron
NicholasFeneziaMiddletown,13,19,"Middletown, Monmouth County",Nicholas Fenezia
NicholasMalettoRedBank,14,19,"Red Bank, Monmouth County",Nicholas Maletto
JasonREfelisPennsville,15,19,"Pennsville, Salem County",Jason Efelis
KevinJMichaelAsburyPark,16,19,"Asbury Park, Monmouth County",Kevin Michael
ElvinNunezCamden,17,19,"Camden, Camden County",Elvin Nunez
BryanSkillNorthWildwood,18,19,"North Wildwood, Cape May County",Bryan Skill
JasonParrattCamden,19,19,"Camden, Camden County",Jason Parratt
EduardoAndinoElizabeth,20,19,"Elizabeth, Union County",Eduardo Andino
ThomasJRitzGloucester,21,19,"Gloucester, Camden County",Thomas Ritz
BrianGMcDevittAtlanticCity,22,19,"Atlantic City, Atlantic County",Brian McDevitt
AnthonyGrandinettiCamden,23,19,"Camden, Camden County",Anthony Grandinetti
ChristopherRavallesePaterson,24,19,"Paterson, Passaic County",Christopher Ravallese
LaminBaryohNewark,25,19,"Newark, Essex County",Lamin Baryoh
GeorgeMBamberaBloomfield,26,19,"Bloomfield, Essex County",George Bambera
RobertLJonesDeptford,27,19,"Deptford, Gloucester County",Robert Jones
JustinRodriguezPassaic,28,19,"Passaic, Passaic County",Justin Rodriguez
ThomasDelMauroNewark,29,19,"Newark, Essex County",Thomas DelMaure
JoseTorresVineland,30,19,"Vineland, Cumberland County",Jose Torres
ChristopherDevlinCamden,31,19,"Camden, Camden County",Christopher Devlin
JasonDiazCamden,32,19,"Camden, Camden County",Jason Diaz
EliezerRamosTrenton,33,19,"Trenton, Mercer County",Eliezer Ramos
LouisSpagnolaPaterson,34,19,"Paterson, Passaic County",Louis Spagnola
DanielCalabreseWinslow,35,19,"Winslow, Camden County",Daniel Calabrese
JohnKKavakichClifton,36,19,"Clifton, Passaic County",John Kavakich
TerryEBrowningBradleyBeach,37,19,"Bradley Beach, Monmouth County",Terry Browning
RobertDeJesusNorthPlainfield,38,19,"North Plainfield, Somerset County",Roberto DeJesus
CharlesBWilliamsGlassboro,39,19,"Glassboro, Gloucester County",Charles Williams
RobertOHeneyNeptuneTownship,40,19,"Neptune Township, Monmouth County",Robert OHeney
JosiahOSulouffSomerville,41,19,"Somerville, Somerset County",Josiah Sulouff
RonaldFBroomallBridgetonCity,42,19,"Bridgeton City, Cumberland County",Ronald Broomall
JosephJBereheikoAtlanticCity,43,19,"Atlantic City, Atlantic County",Joseph Bereheiko
DanteNLaspataGlassboro,44,19,"Glassboro, Gloucester County",Dante Laspata
JosephSassinePerthAmboy,45,19,"Perth Amboy, Middlesex County",Joseph Sassine
MatthewRogersAtlanticCity,46,19,"Atlantic City, Atlantic County",Matthew Rogers
DanielColombaroCamden,47,19,"Camden, Camden County",Daniel Colombaro
AndreGravesPleasantville,48,19,"Pleasantville, Atlantic County",Andre Graves
AllenRWilliamsCamden,49,19,"Camden, Camden County",Allen Williams
MatthewKlineLittleEggHarbor,50,19,"Little Egg Harbor, Ocean County",Matthew Kline
RobertCToscanoAtlanticCity,51,19,"Atlantic City, Atlantic County",Robert Toscano
NicholasRomanoLongBranch,52,19,"Long Branch, Monmouth County",Nick Romano
ManuelSoutoNewark,53,19,"Newark, Essex County",Manuel Souto
ThomasLBurginBoundBrook,0,18,"Bound Brook, Somerset County",Thomas Burgin
MichaelJYeeBelmar,1,18,"Belmar, Monmouth County",Michael Yee
ChaseGMesserLakewood,2,18,"Lakewood, Ocean County",Chase Messer
DennisConveryCamden,3,18,"Camden, Camden County",Dennis Convery
KevinSpragueVineland,4,18,"Vineland, Cumberland County",Kevin Sprague
ThomasGiaquintoPaterson,5,18,"Paterson, Passaic County",Thomas Giaquinto
MichaelAYoungLakewood,6,18,"Lakewood, Ocean County",Michael Young
